Efficiency,Clustering,Modularity,Assortativity,Vagal_SD1,Sympathetic_SD2,Vagal_SD1_zscore,Sympathetic_SD2_zscore,Efficiency_zscore,Clustering_zscore,Modularity_zscore,Assortativity_zscore
0.45905695611577935,0.5056179775280899,0.3203272498426682,0.47611111111111115,0.5012382433646979,0.40690021258418924,5.042573081952218,3.790573773692149,0.4199995883575828,-0.640663857728862,0.595540381541991,0.7169923039585706
0.4563958916900091,0.5161290322580645,0.3444909344490935,0.4261111111111111,0.08759652833880724,0.07843806281048939,-0.49836181673853813,-0.5762583366068119,0.33852833236754315,-0.418359998665059,0.8839131852295314,-0.27098121382953666
0.4638733271086212,0.4948453608247423,0.17792358162871472,0.3227777777777778,0.15849683074804524,0.1254451814999436,0.451382722258177,0.048690977788071035,0.5674577972986321,-0.8684996293893474,-1.1039249825825042,-2.3127931505916233
0.4662464985994395,0.4838709677419355,0.1771269177126917,0.3877777777777778,0.16626795321987084,0.1346993361587202,0.5554807426994743,0.1717229306187413,0.6401149115587488,-1.1006028764815592,-1.1134324815754004,-1.0284275774670848
0.4678804855275438,0.4421052631578947,0.3304157549234136,0.36277777777777775,0.15506439663352753,0.13284250403560938,0.4054035734399843,0.14703675553214016,0.6901411213771868,-1.983927865654503,0.7159380171896996,-1.5224143363611384
0.45421724245253636,0.53125,0.5392953929539295,0.37500000000000006,0.06819758570062344,0.07829523607542237,-0.7582202264612733,-0.578157186667099,0.27182671927628177,-0.09855864968857396,3.2087369356162982,-1.2809096986795998
0.46265172735760945,0.4787234042553192,0.21440261865793778,0.3594444444444444,0.05583899322214272,0.034585851868278616,-0.9237696714886557,-1.1592638457103226,0.5300572499581666,-1.2094714208139792,-0.6685790345087809,-1.5882792375470127
0.4614612511671335,0.4945054945054945,0.3110989611809733,0.3811111111111111,0.1152258688450703,0.11205228240713644,-0.12825316599623868,-0.12936467291249878,0.4936095828047339,-0.8756876420365588,0.4854086893784843,-1.160157379838832
0.46971677559912833,0.4883720930232558,0.24079754601226996,0.4116666666666667,0.1114907666133795,0.10916937982424808,-0.17828670360609472,-0.1676922293097708,0.746361052411261,-1.0054061958560017,-0.3535782666923631,-0.5563957856349893
0.4828976034858384,0.45,0.14285714285714288,0.3983333333333333,0.1380801394415397,0.1706908907338919,0.1778910668797252,0.6502227404955317,1.1499058116133911,-1.816957898188885,-1.5224127847783135,-0.8198553903784849
0.4775599128540302,0.45,0.40697674418604657,0.3794444444444445,0.11596836735961434,0.1163611274897916,-0.11830703198215453,-0.0720795242942912,0.9864868595398022,-1.816957898188885,1.629627609086062,-1.1930898304317687
0.48638344226579505,0.45,0.26744186046511625,0.30611111111111106,0.08792648525762985,0.13925228477565385,-0.4939418809821693,0.23225338208983207,1.2566283925594182,-1.816957898188885,-0.035601278238514535,-2.642117656520993
0.4593837535014002,0.5,0.2291666666666667,0.4761111111111111,0.05436096994237046,0.042711798096364724,-0.9435685227032989,-1.0512311760714708,0.43000483032127035,-0.7594814375733091,-0.492382813303241,0.7169923039585695
0.4582944288826639,0.5666666666666667,0.2962962962962963,0.4766666666666667,0.09753002910670813,0.0853079375187014,-0.3652976719203871,-0.48492486183591454,0.39665402377564224,0.6504871765807922,0.3087516089551478,0.727969787489549
0.45530656707127276,0.5274725274725275,0.294696555494806,0.4305555555555556,0.10187163947451884,0.08624604343547392,-0.3071396585246293,-0.4724529497965942,0.3051775258219133,-0.17845041525705815,0.28966007769188856,-0.18316134558170444
0.4582944288826639,0.5666666666666667,0.2962962962962963,0.4766666666666667,0.26835951714879785,0.22900101581375343,1.92304762216738,1.4254430413116854,0.39665402377564224,0.6504871765807922,0.3087516089551478,0.727969787489549
0.388453159041394,0.5567010309278351,0.2979034617259873,0.39611111111111114,0.27363274279531585,0.23770952444597612,1.9936850819594465,1.5412207501107242,-1.7416091158928213,0.43971867240311796,0.3279317467734693,-0.8637653245024
0.38790849673202576,0.5684210526315789,0.3016627078384797,0.39611111111111114,0.21790328598030737,0.2897345115853458,1.2471615062798709,2.232881523002252,-1.7582845191656378,0.6875916137953739,0.37279511752457817,-0.8637653245024
0.3874727668845312,0.5806451612903226,0.2629815745393635,0.4916666666666667,0.08378605257964682,0.09649074463061554,-0.5494050199445436,-0.33625189841157194,-1.7716248417838907,0.9461257569679437,-0.08883095651843145,1.0243618428259813
0.45319794584500434,0.5393258426966292,0.27951967978652426,0.475,0.07627702749130166,0.06281811465994132,-0.6499921165930328,-0.7839221151944286,0.24061989315143742,0.07224162133781795,0.10853711277573659,0.6950373368966114
0.45645813881108,0.5666666666666667,0.3148148148148147,0.45666666666666667,0.08074614643655827,0.06836598197858264,-0.5901260628788363,-0.7101644381914238,0.34043409274158654,0.6504871765807922,0.5297542081988404,0.33278038037430613
0.4515172735760969,0.6067415730337079,0.2795196797865244,0.5127777777777778,0.1203937995957897,0.1712767578037425,-0.05902618329483021,0.6580117144602731,0.18916436305246734,1.4980525794711803,0.10853711277573858,1.4415062170031812
0.4582944288826639,0.5666666666666667,0.2962962962962963,0.4766666666666667,0.16795912919596842,0.12051073142455815,0.5781348794690212,-0.016911451748197213,0.39665402377564224,0.6504871765807922,0.3087516089551478,0.727969787489549
0.4298008092125736,0.5816326530612245,0.2984409799554566,0.46277777777777773,0.17554750724150509,0.12635534122630215,0.6797849481385728,0.060791351366280125,-0.4757077874393674,0.9670107430235496,0.33434656476956276,0.45353269921507383
0.3408496732026143,0.6494845360824743,0.3249503639973526,0.4816666666666667,0.09701704796083445,0.13496688929699,-0.372169307517788,0.1752799908042535,-3.1990393619368915,2.402046125091816,0.6507132747604116,0.8267671392683598
0.35958605664488014,0.6666666666666666,0.4375000000000001,0.5516666666666666,0.12385213767795446,0.11411987564738502,-0.012700038046789836,-0.10187647508277885,-2.625405489352035,2.765440097811944,1.9938964281883136,2.209930064171708
0.43870992841581036,0.5795454545454546,0.26330150068212815,0.5027777777777778,0.11898972034310096,0.1131161131157742,-0.07783451777643287,-0.1152212773900554,-0.20294583390545826,0.9228674770423811,-0.08501291302611352,1.2439115134455596
0.4362044817927168,0.5862068965517241,0.4004796163069545,0.46611111111111114,0.06672373157240652,0.05597846171790933,-0.7779632298334197,-0.8748537982244029,-0.27965268896040546,1.0637538393500972,1.5520899730455693,0.5193976004009491
0.4325241207594145,0.5510204081632653,0.1649797570850202,0.4438888888888889,0.10048626979161261,0.09724209586576814,-0.3256973690861059,-0.3262628488299453,-0.3923307710752912,0.3195761752997267,-1.2583984014712877,0.08029825916179009
0.4589947089947087,0.5421686746987951,0.31414055884843356,0.4705555555555556,0.14010941604098115,0.13593367975826715,0.2050742283464979,0.18813325756008673,0.41809382798354616,0.1323661798133208,0.5217075428580471,0.6072174686487813
0.4582788671023962,0.5060240963855421,0.06507791017415215,0.4511111111111111,0.14604477299015442,0.146147466983198,0.28458126368939696,0.32392331450369094,0.39617758368213096,-0.6320746350895055,-2.4506410646448478,0.22300554506451584
0.46906318082788634,0.5232558139534884,0.2177914110429448,0.45166666666666666,0.10445345632265172,0.14581929907735375,-0.27255494775639394,0.3195603943017816,0.7263505684838774,-0.26763192100792393,-0.6281367105380562,0.2339830285954954
0.45608465608465604,0.5730337078651685,0.2495533055390113,0.5338888888888889,0.08121527966846805,0.07363470755084327,-0.583841791727263,-0.640117889372473,0.3289995304973685,0.7851471004044979,-0.24908580354918428,1.858650591180381
0.4509726112667288,0.5730337078651685,0.3195463642428286,0.47277777777777774,0.21214593867410014,0.17016445410139683,1.1700389979495636,0.6432238811371521,0.17248895977965414,0.7851471004044979,0.586221183189059,0.6511274027726953
0.4537426081543727,0.5333333333333333,0.2833333333333334,0.4811111111111111,0.20937625090441156,0.1675355251195577,1.1329376634756365,0.6082728479617919,0.2572952964242574,-0.05449713049625844,0.154049789484563,0.8157896557373802
0.4638499844382195,0.46875,0.1938997821350763,0.3594444444444444,0.1394671587704984,0.12827500937725395,0.19647087526414977,0.08631291763645783,0.5667431371583618,-1.4204042254580442,-0.9132627633335105,-1.5882792375470127
0.4492530345471519,0.5274725274725275,0.18532634587899002,0.4061111111111111,0.06062117417051982,0.04683264389365496,-0.8597099977513051,-0.996445436644278,0.11984232944690246,-0.17845041525705815,-1.0155793549739507,-0.6661706209447796
0.45600684718331747,0.5393258426966292,0.27951967978652426,0.44166666666666665,0.07978108215513602,0.07722556263249516,-0.6030535751730878,-0.592378260058133,0.3266173300298155,0.07224162133781795,0.10853711277573659,0.03638832503787397
0.45319794584500434,0.5393258426966292,0.27951967978652426,0.475,0.0776970200764295,0.08547067159842463,-0.6309706151704202,-0.48276134800254006,0.24061989315143742,0.07224162133781795,0.10853711277573659,0.6950373368966114
0.4585122938064112,0.5333333333333333,0.18518518518518517,0.46166666666666667,0.09835578446639083,0.09391530745571176,-0.354236271379679,-0.370491769767148,0.40332418508476786,-0.05449713049625844,-1.017263986507014,0.43157773215311684
0.4298008092125736,0.5684210526315789,0.26779661016949147,0.44166666666666665,0.0836670076229043,0.0684298497399262,-0.550999685886992,-0.7093153303376265,-0.4757077874393674,0.6875916137953739,-0.03136764547413042,0.03638832503787397
0.4593837535014003,0.5274725274725275,0.3099482461184588,0.4461111111111111,0.0800097650290263,0.055571444101479434,-0.5999902552257941,-0.8802650080033926,0.43000483032127373,-0.17845041525705815,0.4716758943090371,0.12420819328570622
0.4298008092125736,0.5684210526315789,0.26779661016949147,0.44166666666666665,0.15557871736617218,0.25009554848073323,0.4122931534632481,1.7058902181489042,-0.4757077874393674,0.6875916137953739,-0.03136764547413042,0.03638832503787397
0.4598039215686269,0.5421686746987951,0.31414055884843356,0.4705555555555556,0.21108835518588465,0.2890527161903072,1.15587214522349,2.22381720303187,0.4428687128460086,0.1323661798133208,0.5217075428580471,0.6072174686487813
0.4598039215686269,0.5421686746987951,0.31414055884843356,0.4705555555555556,0.21297281061276985,0.2998662029602411,1.1811153556168175,2.3675801336580435,0.4428687128460086,0.1323661798133208,0.5217075428580471,0.6072174686487813
0.4582944288826639,0.5666666666666667,0.2962962962962963,0.4766666666666667,0.09203996395770735,0.0855132799411966,-0.4388398038552193,-0.4821948794474524,0.39665402377564224,0.6504871765807922,0.3087516089551478,0.727969787489549
0.4516806722689075,0.5274725274725275,0.32750136686714065,0.46,0.07128956549480085,0.05977388289190694,-0.7168016312730875,-0.8243945076603599,0.1941669840343171,-0.17845041525705815,0.6811573010650807,0.3986452815601803
