,systole_mean,systole_std,diastole_mean,diastole_std,mean_difference,p_value_ttest,p_value_wilcoxon,cohens_d,n_patients
mean_amplitude,1.982521382886055,27.965458267045015,-3.2777208665486945,32.02468786397838,-5.260242249434748,0.04144486558465994,0.005519240036694161,-0.13581084256108347,228.0
peak_amplitude,4875.781106838235,6680.141746016301,4900.09183744576,6170.933148399248,24.310730607525713,0.9508276575612846,0.31060992368786,0.004088544438866629,228.0
rms,268.74719229248046,372.4191705224778,272.74487969344415,341.0403679511418,3.9976874009636565,0.8375788608643828,0.17195000176930242,0.013591475450750375,228.0
std_amplitude,268.250881180747,371.721077471234,272.05659048847014,340.0693891783942,3.805709307723143,0.8449155390043571,0.17258046670243743,0.012969402220937844,228.0
